fecha,valor,completo_mediciones,completo_umbral
2000/05,143.60,88.9,83.9
2000/06,,,
2000/07,,,
2000/08,,,
2000/09,,,
2000/10,,40.8,38.7
2000/11,19.80,100.0,100.0
2000/12,55.30,96.8,96.8
2001/01,,,
2001/02,,,
2001/03,166.60,100.0,100.0
2001/04,46.90,100.0,100.0
2001/05,99.30,100.0,100.0
2001/06,10.10,100.0,100.0
2001/07,30.90,100.0,100.0
2001/08,0.00,100.0,100.0
2001/09,57.90,91.2,90.0
2001/10,,,
2001/11,81.80,100.0,100.0
2001/12,,,
2002/01,33.70,100.0,100.0
2002/02,68.90,100.0,100.0
2002/03,133.20,100.0,100.0
2002/04,182.10,100.0,100.0
2002/05,57.90,100.0,100.0
2002/06,,74.7,73.3
2002/07,,,
2002/08,,,
2002/09,,,
2002/10,,,
2002/11,,,
2002/12,,,
2003/01,,,
2003/02,,,
2003/03,,,
2003/04,,,
2003/05,,,
2003/06,,,
2003/07,,,
2003/08,,,
2003/09,,79.8,80.0
2003/10,86.50,100.0,100.0
2003/11,,11.7,10.0
2003/12,,,
2004/01,,,
2004/02,,44.8,44.8
2004/03,61.80,100.0,100.0
2004/04,129.00,100.0,100.0
2004/05,99.40,100.0,100.0
2004/06,6.00,100.0,100.0
2004/07,11.10,100.0,100.0
2004/08,1.80,100.0,100.0
2004/09,80.50,100.0,100.0
2004/10,48.20,100.0,100.0
2004/11,85.20,100.0,100.0
2004/12,59.70,96.8,96.8
2005/01,24.10,100.0,100.0
2005/02,127.80,100.0,100.0
2005/03,171.30,99.9,100.0
2005/04,81.50,100.0,100.0
2005/05,36.00,100.0,100.0
2005/06,47.10,100.0,100.0
2005/07,14.30,99.9,100.0
2005/08,20.60,100.0,100.0
2005/09,,56.7,56.7
2005/10,69.90,100.0,100.0
2005/11,,50.0,50.0
2005/12,,,
2006/01,,,
2006/02,54.80,87.7,85.7
2006/03,50.90,100.0,100.0
2006/04,101.30,100.0,100.0
2006/05,,35.5,35.5
2006/06,,33.3,33.3
2006/07,7.30,100.0,100.0
2006/08,17.20,100.0,100.0
2006/09,21.00,100.0,100.0
2006/10,,53.5,51.6
2006/11,,36.6,0.0
2006/12,,43.3,0.0
2007/01,,46.1,0.0
2007/02,,46.5,0.0
2007/03,178.30,97.4,93.5
2007/04,187.30,99.9,100.0
2007/05,88.10,100.0,100.0
2007/06,54.20,95.2,93.3
2007/07,41.90,100.0,100.0
2007/08,13.50,100.0,100.0
2007/09,,57.3,20.0
2007/10,,43.8,0.0
2007/11,,44.4,0.0
2007/12,,45.5,0.0
2008/01,,79.7,77.4
2008/02,135.00,100.0,100.0
2008/03,199.50,100.0,100.0
2008/04,201.40,100.0,100.0
2008/05,,59.8,58.1
2008/06,,,
2008/07,,,
2008/08,,,
2008/09,,,
2008/10,,,
2008/11,,,
2008/12,,,
2009/01,170.50,100.0,100.0
2009/02,113.10,100.0,100.0
2009/03,134.80,100.0,100.0
2009/04,98.10,100.0,100.0
2009/05,74.40,100.0,100.0
2009/06,71.40,100.0,100.0
2009/07,3.40,100.0,100.0
2009/08,3.60,100.0,100.0
2009/09,10.00,100.0,100.0
2009/10,59.40,100.0,100.0
2009/11,61.90,100.0,100.0
2009/12,91.00,100.0,100.0
2010/01,6.30,100.0,100.0
2010/02,,46.4,46.4
2010/03,75.00,100.0,100.0
2010/04,210.30,100.0,100.0
2010/05,134.20,100.0,100.0
2010/06,57.60,100.0,100.0
2010/07,100.60,100.0,100.0
2010/08,31.20,100.0,100.0
2010/09,95.20,100.0,100.0
2010/10,47.90,100.0,100.0
2010/11,120.40,100.0,100.0
2010/12,85.80,100.0,100.0
2011/01,61.70,100.0,100.0
2011/02,91.60,100.0,100.0
2011/03,91.70,100.0,100.0
2011/04,260.20,100.0,100.0
2011/05,59.50,100.0,100.0
2011/06,40.60,100.0,100.0
2011/07,103.70,100.0,100.0
2011/08,44.60,100.0,100.0
2011/09,119.60,100.0,100.0
2011/10,58.70,100.0,100.0
2011/11,27.10,100.0,100.0
2011/12,60.40,100.0,100.0
2012/01,161.90,100.0,100.0
2012/02,57.50,100.0,100.0
2012/03,106.50,100.0,100.0
2012/04,160.70,100.0,100.0
2012/05,56.30,100.0,100.0
2012/06,35.20,100.0,100.0
2012/07,8.60,100.0,100.0
2012/08,5.90,100.0,100.0
2012/09,21.90,100.0,100.0
2012/10,118.70,100.0,100.0
2012/11,90.60,100.0,100.0
2012/12,34.20,100.0,100.0
2013/01,20.70,100.0,100.0
2013/02,176.10,100.0,100.0
2013/03,54.30,100.0,100.0
2013/04,67.70,100.0,100.0
2013/05,149.30,100.0,100.0
2013/06,4.20,100.0,100.0
2013/07,1.40,100.0,100.0
2013/08,21.80,100.0,100.0
2013/09,37.80,100.0,100.0
2013/10,97.70,100.0,100.0
2013/11,36.60,100.0,100.0
2013/12,69.00,100.0,100.0
2014/01,111.90,100.0,100.0
2014/02,65.20,100.0,100.0
2014/03,134.50,100.0,100.0
2014/04,107.20,100.0,100.0
2014/05,131.40,100.0,100.0
2014/06,32.80,100.0,100.0
2014/07,5.80,100.0,100.0
2014/08,14.20,100.0,100.0
2014/09,68.20,100.0,100.0
2014/10,178.00,100.0,100.0
2014/11,66.20,100.0,100.0
2014/12,36.20,100.0,100.0
2015/01,77.60,100.0,100.0
2015/02,79.40,100.0,100.0
2015/03,154.70,100.0,100.0
2015/04,111.00,100.0,100.0
2015/05,30.90,100.0,100.0
2015/06,7.70,100.0,100.0
2015/07,46.20,100.0,100.0
2015/08,7.10,100.0,100.0
2015/09,1.40,100.0,100.0
2015/10,128.40,100.0,100.0
2015/11,115.10,100.0,100.0
2015/12,30.30,100.0,100.0
2016/01,100.20,100.0,100.0
2016/02,37.50,100.0,100.0
2016/03,147.40,100.0,100.0
2016/04,276.00,100.0,100.0
2016/05,137.60,100.0,100.0
2016/06,45.00,100.0,100.0
2016/07,11.60,100.0,100.0
2016/08,23.70,100.0,100.0
2016/09,120.10,100.0,100.0
2016/10,161.30,100.0,100.0
2016/11,40.80,100.0,100.0
2016/12,78.20,100.0,100.0
2017/01,135.60,100.0,100.0
2017/02,95.90,100.0,100.0
2017/03,298.30,100.0,100.0
2017/04,152.60,100.0,100.0
2017/05,182.70,100.0,100.0
2017/06,108.70,100.0,100.0
2017/07,2.60,100.0,100.0
2017/08,43.60,100.0,100.0
2017/09,24.30,100.0,100.0
2017/10,141.30,100.0,100.0
2017/11,51.50,100.0,100.0
2017/12,169.90,100.0,100.0
2018/01,91.80,100.0,100.0
2018/02,154.30,100.0,100.0
2018/03,108.60,100.0,100.0
2018/04,120.40,99.8,100.0
2018/05,197.00,99.8,100.0
2018/06,4.40,99.4,100.0
2018/07,39.20,99.5,100.0
2018/08,16.80,89.8,87.1
2018/09,72.50,99.5,100.0
2018/10,21.90,99.7,100.0
2018/11,206.00,99.9,100.0
2018/12,5.00,99.7,100.0
2019/01,71.20,100.0,100.0
2019/02,161.30,100.0,100.0
2019/03,150.30,100.0,100.0
2019/04,170.40,99.6,100.0
2019/05,61.00,98.7,100.0
2019/06,24.60,99.1,100.0
2019/07,23.30,99.8,100.0
2019/08,3.00,99.7,100.0
