fecha,valor,max_abs,min_abs,completo_mediciones,completo_umbral
2000/04,,,,23.8,23.3
2000/05,,,,32.1,29.0
2000/06,78.708653,100.000000,41.210000,100.0,100.0
2000/07,69.878038,98.810000,30.050000,100.0,100.0
2000/08,,,,71.1,67.7
2000/09,77.297548,99.410000,32.900000,88.1,86.7
2000/10,69.669840,99.050000,27.200000,85.5,83.9
2000/11,73.130042,99.520000,24.230000,100.0,100.0
2000/12,73.735108,98.930000,30.400000,100.0,100.0
2001/01,,,,14.4,12.9
2001/02,,,,,
2001/03,,,,,
2001/04,,,,,
2001/05,,,,,
2001/06,,,,,
2001/07,,,,,
2001/08,,,,,
2001/09,,,,,
2001/10,,,,,
2001/11,,,,,
2001/12,,,,,
2002/01,,,,,
2002/02,,,,,
2002/03,,,,,
2002/04,,,,,
2002/05,,,,,
2002/06,,,,,
2002/07,,,,,
2002/08,,,,,
2002/09,,,,,
2002/10,,,,,
2002/11,,,,,
2002/12,,,,,
2003/01,,,,,
2003/02,,,,,
2003/03,,,,,
2003/04,,,,,
2003/05,,,,,
2003/06,,,,,
2003/07,,,,,
2003/08,,,,,
2003/09,,,,,
2003/10,,,,,
2003/11,,,,,
2003/12,,,,,
2004/01,,,,,
2004/02,,,,,
2004/03,,,,69.4,67.7
2004/04,,,,,
2004/05,78.552159,100.000000,23.930000,71.0,71.0
2004/06,,,,35.0,33.3
2004/07,68.461438,97.190000,32.110000,100.0,100.0
2004/08,54.997231,98.290000,23.320000,100.0,100.0
2004/09,69.227560,99.880000,22.590000,95.1,93.3
2004/10,,,,,
2004/11,,,,,
2004/12,80.527417,99.630000,31.140000,96.8,96.8
2005/01,77.327043,99.760000,35.410000,100.0,100.0
2005/02,81.363393,100.000000,28.210000,100.0,100.0
2005/03,82.714368,99.760000,44.200000,100.0,100.0
2005/04,79.714625,99.630000,41.030000,100.0,100.0
2005/05,,,,5.1,3.2
2005/06,73.248903,99.390000,25.640000,100.0,100.0
2005/07,59.859624,97.920000,18.320000,100.0,100.0
2005/08,61.895202,97.680000,23.570000,100.0,100.0
2005/09,64.975847,98.660000,21.730000,100.0,100.0
2005/10,78.574570,99.510000,36.870000,100.0,100.0
2005/11,72.553554,99.630000,21.490000,99.0,100.0
2005/12,82.849314,99.510000,37.000000,100.0,100.0
2006/01,80.866693,99.760000,36.510000,100.0,100.0
2006/02,83.858676,99.760000,31.990000,100.0,100.0
2006/03,,,,24.3,22.6
2006/04,83.600236,99.390000,38.460000,100.0,100.0
2006/05,78.488548,99.630000,32.480000,100.0,100.0
2006/06,72.800875,99.510000,20.880000,100.0,100.0
2006/07,61.271196,97.310000,24.050000,100.0,100.0
2006/08,61.357702,97.190000,20.880000,100.0,100.0
2006/09,65.683403,96.460000,19.410000,100.0,100.0
2006/10,,,,56.7,54.8
