fecha,valor,max_abs,min_abs,completo_mediciones,completo_umbral
2000/04,,,,24.4,23.3
2000/05,,,,32.1,29.0
2000/06,155.704764,917.920000,0.000000,100.0,100.0
2000/07,174.034046,916.370000,0.000000,100.0,100.0
2000/08,,,,71.1,67.7
2000/09,161.286442,916.680000,0.000000,88.1,86.7
2000/10,207.807901,914.200000,0.000000,85.5,83.9
2000/11,192.416708,913.580000,0.000000,100.0,100.0
2000/12,171.153226,914.820000,0.000000,100.0,100.0
2001/01,,,,14.4,12.9
2001/02,,,,,
2001/03,,,,,
2001/04,,,,,
2001/05,,,,,
2001/06,,,,,
2001/07,,,,,
2001/08,,,,,
2001/09,,,,,
2001/10,,,,,
2001/11,,,,,
2001/12,,,,,
2002/01,,,,,
2002/02,,,,,
2002/03,,,,,
2002/04,,,,,
2002/05,,,,,
2002/06,,,,,
2002/07,,,,,
2002/08,,,,,
2002/09,,,,,
2002/10,,,,,
2002/11,143.175000,911.710000,0.000000,84.7,83.3
2002/12,143.394261,913.580000,0.000000,100.0,100.0
2003/01,160.514664,913.890000,0.000000,100.0,100.0
2003/02,156.729457,913.890000,0.000000,83.8,82.1
2003/03,,,,,
2003/04,,,,6.7,6.7
2003/05,127.555161,916.370000,0.000000,100.0,100.0
2003/06,112.060528,896.810000,0.000000,100.0,100.0
2003/07,142.049906,855.820000,0.000000,100.0,100.0
2003/08,148.566867,867.000000,0.000000,82.3,80.6
2003/09,,,,,
2003/10,,,,,
2003/11,,,,,
2003/12,,,,,
2004/01,,,,,
2004/02,,,,,
2004/03,,,,,
2004/04,,,,,
2004/05,,,,,
2004/06,,,,,
2004/07,,,,,
2004/08,,,,,
2004/09,,,,,
2004/10,,,,,
2004/11,,,,,
2004/12,,,,,
2005/01,,,,,
2005/02,,,,,
2005/03,,,,,
2005/04,,,,,
2005/05,,,,,
2005/06,141.523786,922.890000,0.000000,77.2,76.7
2005/07,,,,20.8,19.4
