fecha,valor,completo_mediciones,completo_umbral
2000/05,,24.3,22.6
2000/06,61.60,100.0,100.0
2000/07,34.80,100.0,100.0
2000/08,13.60,100.0,100.0
2000/09,66.40,100.0,100.0
2000/10,39.80,100.0,100.0
2000/11,28.40,100.0,100.0
2000/12,95.30,100.0,100.0
2001/01,115.00,100.0,100.0
2001/02,111.20,100.0,100.0
2001/03,192.90,100.0,100.0
2001/04,43.00,100.0,100.0
2001/05,109.80,100.0,100.0
2001/06,10.80,100.0,100.0
2001/07,35.50,100.0,100.0
2001/08,1.00,100.0,100.0
2001/09,,40.0,40.0
2001/10,,,
2001/11,,,
2001/12,,43.8,41.9
2002/01,54.10,100.0,100.0
2002/02,,10.7,10.7
2002/03,,,
2002/04,,60.0,60.0
2002/05,,43.1,41.9
2002/06,42.60,100.0,100.0
2002/07,8.70,100.0,100.0
2002/08,1.10,100.0,100.0
2002/09,12.10,100.0,100.0
2002/10,,48.3,48.4
2002/11,34.30,83.6,83.3
2002/12,90.30,100.0,100.0
2003/01,10.20,100.0,100.0
2003/02,60.60,100.0,100.0
2003/03,63.40,100.0,100.0
2003/04,162.70,98.1,96.7
2003/05,,,
2003/06,,,
2003/07,,,
2003/08,,,
2003/09,,,
2003/10,,,
2003/11,72.00,100.0,100.0
2003/12,,66.4,64.5
2004/01,77.90,100.0,100.0
2004/02,44.10,100.0,100.0
2004/03,68.50,100.0,100.0
2004/04,163.30,100.0,100.0
2004/05,81.70,99.8,100.0
2004/06,7.40,100.0,100.0
2004/07,20.90,100.0,100.0
2004/08,1.30,100.0,100.0
2004/09,,32.6,30.0
2004/10,61.40,100.0,100.0
2004/11,,24.3,23.3
2004/12,,77.4,77.4
2005/01,36.40,99.9,100.0
2005/02,98.70,100.0,100.0
2005/03,202.70,100.0,100.0
2005/04,64.20,100.0,100.0
2005/05,39.50,100.0,100.0
2005/06,48.30,100.0,100.0
2005/07,10.90,100.0,100.0
2005/08,,71.0,71.0
2005/09,,11.7,10.0
2005/10,93.20,100.0,100.0
2005/11,43.50,100.0,100.0
2005/12,105.10,87.1,87.1
2006/01,36.60,100.0,100.0
2006/02,149.90,100.0,100.0
2006/03,155.60,100.0,100.0
2006/04,212.10,100.0,100.0
2006/05,,75.5,74.2
2006/06,59.90,100.0,100.0
2006/07,5.30,98.4,96.8
2006/08,18.90,100.0,100.0
2006/09,,,
2006/10,,,
2006/11,,,
2006/12,,59.7,58.1
2007/01,,,
2007/02,,,
2007/03,,,
2007/04,,,
2007/05,,,
2007/06,,,
2007/07,40.40,87.1,87.1
2007/08,45.80,100.0,100.0
2007/09,7.20,100.0,100.0
2007/10,121.60,100.0,100.0
2007/11,122.50,100.0,100.0
2007/12,58.10,100.0,100.0
2008/01,142.80,100.0,100.0
2008/02,155.50,100.0,100.0
2008/03,247.80,100.0,100.0
2008/04,195.10,99.8,100.0
2008/05,272.10,100.0,100.0
2008/06,,23.1,23.3
2008/07,,72.5,71.0
2008/08,45.90,100.0,100.0
2008/09,,61.5,60.0
2008/10,,53.2,51.6
2008/11,92.90,100.0,100.0
2008/12,102.50,96.8,96.8
2009/01,166.00,100.0,100.0
2009/02,137.10,100.0,100.0
2009/03,110.80,100.0,100.0
2009/04,101.40,100.0,100.0
2009/05,98.50,100.0,100.0
2009/06,124.40,100.0,100.0
2009/07,2.30,100.0,100.0
2009/08,7.70,100.0,100.0
2009/09,17.20,94.9,93.3
2009/10,70.60,87.1,87.1
2009/11,75.60,100.0,100.0
2009/12,96.70,100.0,100.0
2010/01,6.40,100.0,100.0
2010/02,51.20,100.0,100.0
2010/03,57.00,100.0,100.0
2010/04,176.00,100.0,100.0
2010/05,173.10,100.0,100.0
